problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"[[2, 1, 2, 1, 2, 1], [1, 0, 1, 1, 1, 1], [0, 1, 1, 1, 1, 0], [1, 3, 1, 1, 2, 2], [1, 1, 2, 1, 1, 1], [1, 1, 1, 2, 2, 0]]",-,24,0.398901939,645,340,0.532607079,40,58,0.790888071,40,58,80,1.38828826,138,124,125
"[[1, 1, 0, 1, 1, 2], [2, 1, 1, 1, 2, 1], [1, 2, 1, 1, 1, 1], [1, 0, 1, 1, 1, 2], [3, 1, 1, 0, 2, 2], [1, 1, 1, 1, 1, 1]]",-,23,0.333110094,370,271,0.912528753,63,52,0.600394487,63,52,103,0.496702671,83,71,84
"[[2, 1, 1, 1, 1, 1], [1, 2, 1, 0, 2, 1], [1, 2, 1, 1, 1, 0], [3, 2, 1, 1, 0, 0], [2, 1, 2, 1, 1, 2], [0, 1, 1, 2, 1, 1]]",-,31,12.34898305,7434,2035,14.9051168,1304,754,15.54746699,1304,754,2061,11.90076399,1338,762,1555
"[[1, 1, 1, 1, 1, 1], [1, 0, 1, 2, 1, 3], [1, 1, 1, 1, 1, 1], [2, 1, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 0, 2, 1, 1]]",-,14,0.025966644,50,23,0.182474136,23,25,0.151594877,23,25,39,0.046876669,48,24,2
"[[0, 1, 2, 1, 2, 2], [1, 3, 2, 0, 1, 2], [0, 2, 1, 1, 1, 2], [2, 1, 1, 1, 1, 1], [2, 2, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1]]",-,25,1.243674517,1316,873,0.986364841,65,79,0.863721848,65,79,123,0.838759422,83,86,98
"[[0, 1, 1, 1, 2, 2], [1, 1, 1, 1, 1, 1], [1, 1, 1, 2, 0, 1], [1, 1, 1, 2, 1, 1], [1, 0, 1, 1, 0, 1], [1, 2, 1, 1, 2, 3]]",-,19,0.064833164,129,110,0.248335123,26,34,0.275228739,26,34,41,0.369012356,47,57,54
"[[1, 1, 2, 0, 1, 2], [1, 1, 1, 1, 2, 1], [1, 2, 1, 1, 2, 3], [1, 1, 1, 1, 1, 2], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 2]]",-,24,1.283599377,1427,592,4.358843565,353,283,4.531880856,353,283,610,3.373979807,364,284,503
"[[1, 1, 1, 0, 2, 0], [1, 1, 1, 1, 1, 1], [1, 1, 1, 3, 2, 0], [1, 1, 1, 1, 2, 2], [1, 1, 2, 1, 1, 1], [1, 0, 1, 1, 2, 1]]",-,19,0.287233353,465,294,1.92983675,171,186,1.860992908,171,186,335,1.465082169,177,182,221
"[[1, 3, 1, 1, 1, 1], [1, 2, 1, 1, 1, 1], [2, 1, 1, 1, 1, 1], [1, 1, 2, 1, 1, 2], [1, 0, 1, 1, 1, 1], [1, 1, 1, 0, 0, 1]]",-,13,0.041887999,66,61,0.222404242,22,30,0.208477974,22,30,37,0.075795889,66,61,0
"[[1, 1, 3, 1, 1, 1], [2, 1, 0, 2, 1, 1], [0, 1, 1, 1, 2, 2], [1, 1, 0, 0, 1, 1], [1, 1, 2, 1, 1, 1], [2, 2, 1, 1, 1, 1]]",-,26,0.774897814,937,387,3.327136278,243,186,2.513281107,243,186,398,2.111320019,247,190,329
"[[0, 3, 1, 0, 1, 1], [1, 0, 1, 2, 2, 2], [1, 2, 1, 0, 2, 2], [1, 1, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1], [2, 1, 1, 1, 1, 1]]",-,23,0.460765123,710,365,1.468074799,111,140,1.354346037,111,140,233,1.338457108,138,165,234
"[[1, 0, 2, 1, 1, 0], [1, 1, 1, 0, 0, 1], [2, 1, 1, 1, 0, 1], [1, 0, 1, 1, 0, 1], [1, 1, 1, 2, 1, 0], [1, 1, 1, 0, 3, 2]]",-,17,0.022935867,60,26,0.140590429,26,20,0.129655123,26,20,39,0.097773075,42,22,21
"[[1, 2, 1, 1, 2, 0], [1, 0, 1, 0, 2, 1], [1, 2, 1, 1, 2, 0], [1, 1, 1, 2, 1, 1], [1, 3, 1, 1, 1, 2], [1, 1, 1, 1, 1, 1]]",-,23,0.730012417,824,485,1.236726046,114,110,1.111995935,114,110,208,1.106042624,135,131,170
,,,,,,,,,,,,,,,,
